water_year,water_month,rep,flow,model,rcp,water_day,scenario
2007,6,9,91151.92,ACCESS1-0,8.5,152,RCP 4.5 and 8.5 1996
2007,7,1,82495.87,ACCESS1-0,8.5,194,RCP 4.5 and 8.5 1996
2008,3,10,309312.77,ACCESS1-0,8.5,76,RCP 4.5 and 8.5 1996
2009,7,10,92626.25,ACCESS1-0,8.5,195,RCP 4.5 and 8.5 1996
2010,5,7,277744.94,ACCESS1-0,8.5,143,RCP 4.5 and 8.5 1996
2010,7,3,201176.73,ACCESS1-0,8.5,189,RCP 4.5 and 8.5 1996
1981,5,5,80580.31,CCSM4,4.5,148,RCP 4.5 and 8.5 1996
1982,3,10,136385.16,CCSM4,4.5,78,RCP 4.5 and 8.5 1996
1983,4,9,159136.24,CCSM4,4.5,99,RCP 4.5 and 8.5 1996
1983,6,1,91379.35,CCSM4,4.5,176,RCP 4.5 and 8.5 1996
1984,4,10,220629.88,CCSM4,4.5,106,RCP 4.5 and 8.5 1996
1985,7,5,48997.83,CCSM4,4.5,196,RCP 4.5 and 8.5 1996
1986,5,3,153259.64,CCSM4,4.5,139,RCP 4.5 and 8.5 1996
1986,5,7,171224.77,CCSM4,4.5,151,RCP 4.5 and 8.5 1996
1986,6,7,271685.79,CCSM4,4.5,153,RCP 4.5 and 8.5 1996
1987,4,10,81790.86,CCSM4,4.5,102,RCP 4.5 and 8.5 1996
1988,4,3,292006.6,CCSM4,4.5,121,RCP 4.5 and 8.5 1996
1988,4,6,314125.97,CCSM4,4.5,109,RCP 4.5 and 8.5 1996
1988,6,11,207166.76,CCSM4,4.5,154,RCP 4.5 and 8.5 1996
1989,6,11,184027.83,CCSM4,4.5,161,RCP 4.5 and 8.5 1996
1990,6,5,101066.45,CCSM4,4.5,158,RCP 4.5 and 8.5 1996
1990,7,5,97717.54,CCSM4,4.5,192,RCP 4.5 and 8.5 1996
1991,6,10,186326.74,CCSM4,4.5,180,RCP 4.5 and 8.5 1996
1991,7,10,139765.21,CCSM4,4.5,183,RCP 4.5 and 8.5 1996
1992,4,9,233380.5,CCSM4,4.5,123,RCP 4.5 and 8.5 1996
1992,5,1,213489.12,CCSM4,4.5,134,RCP 4.5 and 8.5 1996
1992,5,9,336132.27,CCSM4,4.5,124,RCP 4.5 and 8.5 1996
1993,3,4,152962.72,CCSM4,4.5,86,RCP 4.5 and 8.5 1996
1993,6,6,163232.22,CCSM4,4.5,163,RCP 4.5 and 8.5 1996
1994,7,10,85879.84,CCSM4,4.5,199,RCP 4.5 and 8.5 1996
1995,2,1,97741.64,CCSM4,4.5,46,RCP 4.5 and 8.5 1996
1995,3,9,178110.3,CCSM4,4.5,71,RCP 4.5 and 8.5 1996
1996,6,10,191272.75,CCSM4,4.5,162,RCP 4.5 and 8.5 1996
1997,7,3,97644.2,CCSM4,4.5,193,RCP 4.5 and 8.5 1996
1997,7,7,93572.26,CCSM4,4.5,212,RCP 4.5 and 8.5 1996
1997,8,7,118200.93,CCSM4,4.5,214,RCP 4.5 and 8.5 1996
1998,6,10,132662.56,CCSM4,4.5,160,RCP 4.5 and 8.5 1996
1999,7,10,61227.8,CCSM4,4.5,186,RCP 4.5 and 8.5 1996
2000,3,3,113305.53,CCSM4,4.5,74,RCP 4.5 and 8.5 1996
2000,5,1,92750.67,CCSM4,4.5,135,RCP 4.5 and 8.5 1996
2000,5,6,107718.51,CCSM4,4.5,129,RCP 4.5 and 8.5 1996
2001,5,10,313043.76,CCSM4,4.5,126,RCP 4.5 and 8.5 1996
2002,4,10,289866.67,CCSM4,4.5,114,RCP 4.5 and 8.5 1996
2003,6,8,21700.26,CCSM4,4.5,166,RCP 4.5 and 8.5 1996
2003,9,2,21697.27,CCSM4,4.5,247,RCP 4.5 and 8.5 1996
2004,4,6,135960.62,CCSM4,4.5,108,RCP 4.5 and 8.5 1996
2004,5,4,131906.42,CCSM4,4.5,149,RCP 4.5 and 8.5 1996
2005,7,4,86467.76,CCSM4,4.5,192,RCP 4.5 and 8.5 1996
2005,7,6,113678.88,CCSM4,4.5,212,RCP 4.5 and 8.5 1996
2005,8,6,86055.13,CCSM4,4.5,213,RCP 4.5 and 8.5 1996
2006,7,3,45026.43,CCSM4,4.5,184,RCP 4.5 and 8.5 1996
2006,7,7,50915.83,CCSM4,4.5,189,RCP 4.5 and 8.5 1996
2007,5,1,229327.38,CCSM4,4.5,147,RCP 4.5 and 8.5 1996
2007,5,9,532235.65,CCSM4,4.5,126,RCP 4.5 and 8.5 1996
2008,5,4,169544.98,CCSM4,4.5,139,RCP 4.5 and 8.5 1996
2008,7,6,171703.87,CCSM4,4.5,186,RCP 4.5 and 8.5 1996
2009,3,2,174322.86,CCSM4,4.5,91,RCP 4.5 and 8.5 1996
2009,3,3,168807.96,CCSM4,4.5,87,RCP 4.5 and 8.5 1996
2009,3,5,227721.1,CCSM4,4.5,76,RCP 4.5 and 8.5 1996
2010,4,4,153849.17,CCSM4,4.5,114,RCP 4.5 and 8.5 1996
2010,4,6,178632.98,CCSM4,4.5,121,RCP 4.5 and 8.5 1996
2010,5,6,129279.16,CCSM4,4.5,124,RCP 4.5 and 8.5 1996
1981,5,4,64242.83,CCSM4,8.5,128,RCP 4.5 and 8.5 1996
1981,5,6,80201.84,CCSM4,8.5,148,RCP 4.5 and 8.5 1996
1982,3,10,145536.11,CCSM4,8.5,78,RCP 4.5 and 8.5 1996
1983,4,8,152610.74,CCSM4,8.5,98,RCP 4.5 and 8.5 1996
1983,6,2,95303.08,CCSM4,8.5,176,RCP 4.5 and 8.5 1996
1984,4,10,208647.59,CCSM4,8.5,106,RCP 4.5 and 8.5 1996
1985,7,5,54800.93,CCSM4,8.5,196,RCP 4.5 and 8.5 1996
1986,5,3,150306.55,CCSM4,8.5,139,RCP 4.5 and 8.5 1996
1986,5,7,172331.57,CCSM4,8.5,151,RCP 4.5 and 8.5 1996
1986,6,7,275540.18,CCSM4,8.5,153,RCP 4.5 and 8.5 1996
1987,4,10,76592.84,CCSM4,8.5,102,RCP 4.5 and 8.5 1996
1988,4,2,285841.27,CCSM4,8.5,121,RCP 4.5 and 8.5 1996
1988,4,6,291768.03,CCSM4,8.5,109,RCP 4.5 and 8.5 1996
1988,6,12,208258.91,CCSM4,8.5,154,RCP 4.5 and 8.5 1996
1989,6,12,189119.18,CCSM4,8.5,161,RCP 4.5 and 8.5 1996
1990,6,4,103574.72,CCSM4,8.5,158,RCP 4.5 and 8.5 1996
1990,7,6,110776.86,CCSM4,8.5,192,RCP 4.5 and 8.5 1996
1991,6,10,194847.25,CCSM4,8.5,180,RCP 4.5 and 8.5 1996
1991,7,10,148638.78,CCSM4,8.5,183,RCP 4.5 and 8.5 1996
1992,4,9,235698.79,CCSM4,8.5,123,RCP 4.5 and 8.5 1996
1992,5,1,231497.64,CCSM4,8.5,134,RCP 4.5 and 8.5 1996
1992,5,9,345064.16,CCSM4,8.5,124,RCP 4.5 and 8.5 1996
1993,3,4,159190.54,CCSM4,8.5,86,RCP 4.5 and 8.5 1996
1993,6,6,163208.08,CCSM4,8.5,163,RCP 4.5 and 8.5 1996
1994,7,10,88575.61,CCSM4,8.5,199,RCP 4.5 and 8.5 1996
1995,2,1,97731.03,CCSM4,8.5,46,RCP 4.5 and 8.5 1996
1995,3,9,178110.69,CCSM4,8.5,71,RCP 4.5 and 8.5 1996
1996,6,10,187692.65,CCSM4,8.5,162,RCP 4.5 and 8.5 1996
1997,7,3,98891.4,CCSM4,8.5,193,RCP 4.5 and 8.5 1996
1997,7,7,96297.7,CCSM4,8.5,212,RCP 4.5 and 8.5 1996
1997,8,7,122311.24,CCSM4,8.5,214,RCP 4.5 and 8.5 1996
1998,6,10,129911.34,CCSM4,8.5,159,RCP 4.5 and 8.5 1996
1999,7,10,61499.69,CCSM4,8.5,186,RCP 4.5 and 8.5 1996
2000,3,3,112879.96,CCSM4,8.5,74,RCP 4.5 and 8.5 1996
2000,5,1,92704.84,CCSM4,8.5,135,RCP 4.5 and 8.5 1996
2000,5,6,106001.46,CCSM4,8.5,129,RCP 4.5 and 8.5 1996
2001,5,10,300158.58,CCSM4,8.5,126,RCP 4.5 and 8.5 1996
2002,4,10,280445.43,CCSM4,8.5,114,RCP 4.5 and 8.5 1996
2003,7,5,22789.93,CCSM4,8.5,198,RCP 4.5 and 8.5 1996
2003,9,5,22803.95,CCSM4,8.5,247,RCP 4.5 and 8.5 1996
2004,4,5,122643.05,CCSM4,8.5,108,RCP 4.5 and 8.5 1996
2004,5,5,127098.73,CCSM4,8.5,149,RCP 4.5 and 8.5 1996
2004,6,5,106480.3,CCSM4,8.5,153,RCP 4.5 and 8.5 1996
2005,7,4,92839.75,CCSM4,8.5,192,RCP 4.5 and 8.5 1996
2005,7,6,118217.39,CCSM4,8.5,212,RCP 4.5 and 8.5 1996
2005,8,6,88048.4,CCSM4,8.5,213,RCP 4.5 and 8.5 1996
2006,5,10,478645.33,CCSM4,8.5,148,RCP 4.5 and 8.5 1996
2006,6,10,248646.61,CCSM4,8.5,152,RCP 4.5 and 8.5 1996
2007,5,1,132437.45,CCSM4,8.5,145,RCP 4.5 and 8.5 1996
2007,5,9,263959.42,CCSM4,8.5,136,RCP 4.5 and 8.5 1996
2008,6,10,52522.46,CCSM4,8.5,180,RCP 4.5 and 8.5 1996
2008,7,10,56656.34,CCSM4,8.5,184,RCP 4.5 and 8.5 1996
2009,6,10,97336.35,CCSM4,8.5,174,RCP 4.5 and 8.5 1996
2010,5,3,234613.05,CCSM4,8.5,126,RCP 4.5 and 8.5 1996
2010,6,7,372269.42,CCSM4,8.5,165,RCP 4.5 and 8.5 1996
1981,5,2,232739.97,CESM1,4.5,150,RCP 4.5 and 8.5 1996
1981,5,8,503088.09,CESM1,4.5,130,RCP 4.5 and 8.5 1996
1982,5,10,368484.53,CESM1,4.5,148,RCP 4.5 and 8.5 1996
1982,6,10,460222.39,CESM1,4.5,152,RCP 4.5 and 8.5 1996
